iter	RMSE
0	0.3155240919
1	0.3061650171
2	0.2966229187
3	0.2881284202
4	0.2802376196
5	0.2731115955
6	0.2665543888
7	0.2608087503
8	0.2552059612
9	0.2498319256
10	0.2444671755
11	0.2400036989
12	0.2359972839
13	0.231930672
14	0.2286212383
15	0.2250743772
16	0.2220078168
17	0.2190712664
18	0.2166716907
19	0.2145491652
20	0.2122706886
21	0.210126207
22	0.2082670358
23	0.2066236164
24	0.2049583524
25	0.2034982673
26	0.2023656507
27	0.2012377712
28	0.2001088457
29	0.1989399977
30	0.1980873448
31	0.197099655
32	0.196197982
33	0.1954956566
34	0.1949736758
35	0.194429017
36	0.1938073154
37	0.1933133013
38	0.1929511392
39	0.1924411672
40	0.1919989474
41	0.1916757351
42	0.1913490473
43	0.1909792923
44	0.190594445
45	0.1903423762
46	0.1899823197
47	0.1897502224
48	0.1894533426
49	0.1892330768
50	0.1889871171
51	0.1887961703
52	0.1886413329
53	0.1884451736
54	0.1882801466
55	0.1879655687
56	0.1877287361
57	0.1875568475
58	0.1874532662
59	0.1872998151
60	0.1871089229
61	0.1870174314
62	0.186877853
63	0.1867360401
64	0.1866007753
65	0.1864904297
66	0.1863516654
67	0.186216001
68	0.1861132428
69	0.1860363341
70	0.1859464417
71	0.1858087729
72	0.185665321
73	0.1855809403
74	0.1854992745
75	0.1854342943
76	0.1853732463
77	0.1853074212
78	0.1851820263
79	0.1851380816
80	0.1850907838
81	0.1849647812
82	0.1849069172
83	0.1848413638
84	0.1847888104
85	0.1847179892
86	0.184669757
87	0.1846386078
88	0.1845720662
89	0.1845011925
90	0.1844703237
91	0.1844331764
92	0.1843744203
93	0.1843253609
94	0.1842826086
95	0.1842397548
96	0.1841982021
97	0.1841226205
98	0.1840969905
99	0.1840575181
100	0.1840111668
101	0.1839656237
102	0.1839068216
103	0.1838446345
104	0.1838168312
105	0.1837684096
106	0.1837086675
107	0.1836596521
108	0.1836310077
109	0.1835881098
110	0.1835658062
111	0.1835378003
112	0.1835112628
113	0.1834463729
114	0.1834211023
115	0.1833667795
116	0.1833109554
117	0.1832872531
118	0.1832665964
119	0.1832295154
120	0.1831616391
121	0.1831140985
122	0.1830457478
123	0.1830195857
124	0.1829434013
125	0.1829042324
126	0.1828570075
127	0.1828142854
128	0.1827934672
129	0.1827579274
130	0.1827015926
131	0.1826555373
132	0.1825936761
133	0.1825424251
134	0.1825112271
