iter	RMSE
0	0.314278604
1	0.3034013429
2	0.2934345679
3	0.2840965921
4	0.2754075457
5	0.2672270334
6	0.2596746714
7	0.2518836646
8	0.2450886764
9	0.2383734103
10	0.2325069435
11	0.2263638986
12	0.2210277685
13	0.2164962352
14	0.21188453
15	0.2075734358
16	0.2030265319
17	0.1987911594
18	0.1949179085
19	0.1910405094
20	0.1876244899
21	0.1846808872
22	0.1817765831
23	0.1786026237
24	0.1755870732
25	0.1725160312
26	0.1696277945
27	0.1671555291
28	0.1651040681
29	0.1626963362
30	0.1603196339
31	0.1581442324
32	0.1561738632
33	0.1542654415
34	0.1523947365
35	0.150848727
36	0.1491494057
37	0.1475198647
38	0.1463056828
39	0.1452575109
40	0.1440630923
41	0.1427522085
42	0.1415281721
43	0.1407115619
44	0.1396359698
45	0.1384793222
46	0.1376246148
47	0.1366638507
48	0.1358720321
49	0.1351026035
50	0.1341790168
51	0.1334332308
52	0.1327739478
53	0.1321173098
54	0.1313930631
55	0.1308794739
56	0.1301953886
57	0.1296739519
58	0.1288812076
59	0.1282008667
60	0.1276753643
61	0.1272608812
62	0.126867536
63	0.1263892579
64	0.1259998964
65	0.1254533471
66	0.1248352581
67	0.1245322711
68	0.1241799516
69	0.1237356277
70	0.1233801291
71	0.1229459774
72	0.1226225734
73	0.1222809077
74	0.1217909392
75	0.1213962875
76	0.1211427366
77	0.1208576022
78	0.1204527389
79	0.1200581584
80	0.1197743205
81	0.1194700308
82	0.1191944038
83	0.1189479519
84	0.1187281929
85	0.1183800581
86	0.1181467713
87	0.1176985976
88	0.1174004572
89	0.1171393169
90	0.1169324078
91	0.1167803739
92	0.1164233086
93	0.1162261748
94	0.1157805094
95	0.1156028978
96	0.115485943
97	0.1153362963
98	0.1150410004
99	0.1148287177
100	0.1146124354
101	0.1142967001
102	0.1140464833
103	0.113880161
104	0.1137238373
105	0.1134771683
106	0.1132804222
107	0.1129935906
108	0.1127413988
109	0.1125334193
110	0.1123462246
111	0.1120716308
112	0.1118582599
113	0.1116455638
114	0.1114830289
115	0.1113376847
116	0.1111410308
117	0.1108991939
118	0.110685493
119	0.1104329283
120	0.1102709797
121	0.1100601183
122	0.1097198917
123	0.1094571349
124	0.1092637529
125	0.1090424011
126	0.1090171514
127	0.108851964
128	0.1086042243
129	0.1082851137
130	0.1080973549
131	0.1078055537
132	0.1075353237
133	0.107349724
134	0.1071485693
135	0.1068914753
136	0.1066746848
137	0.1065174313
138	0.1063944801
139	0.1062361224
140	0.1061296504
141	0.1060025403
142	0.1057754979
143	0.1056855237
144	0.1054966705
145	0.1053720713
146	0.1052529845
147	0.1051121564
148	0.1049991482
149	0.1047296496
150	0.1044664087
151	0.1043141119
152	0.1041061974
153	0.1038925629
154	0.1037838119
155	0.1036723703
156	0.103436851
157	0.1032511437
158	0.1030258174
159	0.1027941661
160	0.1025564084
161	0.1023622534
