iter	Passed	Remaining
0	22	22172
1	43	21594
2	66	22085
3	89	22243
4	110	21995
5	133	22039
6	156	22156
7	177	21977
8	198	21830
9	218	21679
10	238	21437
11	259	21369
12	283	21512
13	305	21505
14	327	21523
15	349	21469
16	368	21314
17	389	21233
18	412	21285
19	432	21174
20	451	21036
21	471	20974
22	494	20987
23	516	20999
24	537	20968
25	559	20976
26	586	21137
27	620	21540
28	642	21504
29	663	21456
30	684	21388
31	706	21356
32	726	21291
33	756	21484
34	779	21491
35	803	21506
36	827	21525
37	849	21511
38	871	21463
39	893	21447
40	915	21418
41	937	21381
42	958	21340
43	979	21281
44	1001	21245
45	1023	21229
46	1046	21219
47	1067	21166
48	1086	21094
49	1108	21054
50	1130	21032
51	1154	21041
52	1175	21003
53	1197	20971
54	1216	20902
55	1236	20846
56	1256	20780
57	1277	20744
58	1297	20690
59	1317	20640
60	1339	20622
61	1364	20641
62	1386	20621
63	1410	20621
64	1432	20611
65	1454	20582
66	1478	20590
67	1499	20555
68	1522	20544
69	1544	20516
70	1567	20515
71	1591	20509
72	1636	20780
73	1657	20743
74	1680	20730
75	1701	20686
76	1723	20664
77	1747	20650
78	1770	20640
79	1792	20609
80	1812	20563
81	1833	20523
82	1854	20487
83	1877	20473
84	1898	20440
85	1921	20418
86	1943	20398
87	1965	20372
88	1990	20371
89	2012	20349
90	2034	20318
91	2056	20297
92	2080	20286
93	2104	20281
94	2125	20245
95	2148	20234
96	2171	20219
97	2194	20197
98	2217	20182
99	2237	20141
100	2260	20122
101	2282	20098
102	2305	20081
103	2327	20049
104	2349	20023
105	2373	20019
106	2397	20006
107	2419	19985
108	2443	19971
109	2467	19967
110	2490	19948
111	2514	19937
112	2535	19899
113	2555	19860
114	2578	19845
115	2599	19809
116	2634	19880
117	2657	19866
118	2682	19858
119	2707	19857
120	2730	19838
121	2755	19828
122	2777	19802
123	2800	19781
124	2823	19767
125	2845	19740
126	2867	19710
127	2890	19694
128	2913	19671
129	2936	19653
130	2960	19639
131	2983	19621
132	3006	19596
133	3028	19569
134	3052	19561
135	3083	19587
136	3107	19576
137	3129	19547
138	3152	19524
139	3172	19488
140	3196	19475
141	3217	19441
142	3241	19425
143	3262	19392
144	3283	19359
145	3304	19328
146	3325	19297
147	3345	19261
148	3366	19229
149	3388	19199
150	3409	19171
151	3431	19144
152	3460	19155
153	3499	19222
154	3525	19221
155	3552	19219
156	3579	19219
157	3601	19190
158	3640	19256
159	3663	19235
160	3689	19226
161	3714	19213
162	3738	19196
163	3758	19159
164	3785	19155
165	3810	19142
166	3835	19129
167	3857	19106
168	3889	19123
169	3907	19076
170	3924	19024
171	3941	18975
172	3961	18937
173	3979	18890
174	3998	18850
175	4020	18820
176	4042	18795
177	4062	18761
178	4082	18724
179	4103	18693
180	4123	18657
181	4146	18638
182	4168	18611
183	4191	18588
184	4213	18561
185	4235	18534
186	4255	18501
187	4275	18467
188	4295	18433
189	4316	18402
190	4339	18380
191	4358	18342
192	4381	18319
193	4404	18297
194	4429	18285
195	4451	18259
196	4472	18228
197	4492	18198
198	4515	18174
199	4535	18143
200	4557	18116
201	4579	18090
202	4601	18065
203	4623	18041
204	4660	18072
205	4683	18052
206	4705	18027
207	4732	18020
208	4757	18004
209	4778	17975
210	4798	17944
211	4820	17916
212	4840	17886
213	4862	17859
214	4884	17835
215	4904	17801
216	4925	17771
217	4947	17746
218	4968	17718
219	4989	17689
220	5011	17665
221	5034	17641
222	5057	17623
223	5079	17596
224	5101	17572
225	5123	17548
226	5148	17532
227	5171	17509
228	5190	17475
229	5211	17448
230	5234	17425
231	5254	17394
232	5274	17363
233	5296	17338
234	5316	17308
235	5339	17285
236	5363	17267
237	5385	17242
238	5409	17224
239	5430	17197
240	5453	17175
241	5475	17150
242	5497	17125
243	5518	17097
244	5540	17074
245	5562	17047
246	5585	17028
247	5608	17006
248	5628	16974
249	5649	16947
250	5685	16965
251	5708	16945
252	5730	16920
253	5750	16890
254	5770	16859
255	5789	16825
256	5808	16793
257	5830	16769
258	5852	16745
259	5876	16726
260	5899	16703
261	5919	16674
262	5942	16651
263	5966	16633
264	5988	16610
265	6009	16582
266	6030	16555
267	6052	16532
268	6073	16505
269	6096	16482
270	6116	16452
271	6134	16418
272	6155	16393
273	6180	16375
274	6201	16349
275	6224	16328
276	6245	16300
277	6268	16281
278	6291	16259
279	6313	16233
280	6336	16212
281	6357	16186
282	6379	16163
283	6402	16141
284	6425	16121
285	6448	16097
286	6470	16074
287	6492	16051
288	6515	16028
289	6537	16004
290	6558	15980
291	6580	15955
292	6603	15934
293	6624	15908
294	6647	15886
295	6683	15896
296	6711	15885
297	6734	15864
298	6757	15843
299	6778	15816
300	6799	15790
301	6822	15767
302	6845	15746
303	6870	15729
304	6892	15706
305	6914	15681
306	6939	15665
307	6961	15639
308	6983	15617
309	7005	15592
310	7028	15570
311	7048	15543
312	7069	15516
313	7093	15496
314	7115	15472
315	7136	15446
316	7156	15419
317	7180	15399
318	7201	15374
319	7222	15347
320	7243	15322
321	7264	15297
322	7287	15273
323	7309	15251
324	7331	15226
325	7351	15199
326	7373	15175
327	7395	15151
328	7416	15125
329	7437	15100
330	7458	15075
331	7480	15050
332	7503	15029
333	7525	15006
334	7547	14982
335	7571	14962
336	7594	14941
337	7617	14920
338	7638	14894
339	7673	14895
340	7694	14870
341	7716	14846
342	7738	14823
343	7763	14805
344	7784	14780
345	7810	14763
346	7832	14739
347	7855	14718
348	7881	14701
349	7902	14676
350	7924	14653
351	7954	14642
352	7979	14625
353	8002	14603
354	8024	14578
355	8049	14560
356	8072	14540
357	8095	14517
358	8117	14493
359	8140	14472
360	8163	14450
361	8187	14430
362	8210	14407
363	8232	14384
364	8254	14360
365	8275	14335
366	8298	14312
367	8319	14287
368	8342	14265
369	8363	14241
370	8385	14217
371	8409	14196
372	8432	14174
373	8458	14157
374	8480	14134
375	8501	14109
376	8524	14086
377	8547	14064
378	8569	14041
379	8591	14017
380	8613	13994
381	8636	13971
382	8657	13947
383	8696	13951
384	8722	13932
385	8743	13908
386	8765	13884
387	8788	13862
388	8809	13837
389	8833	13816
390	8854	13791
391	8877	13769
392	8897	13742
393	8919	13718
394	8941	13694
395	8962	13670
396	8982	13643
397	9004	13620
398	9024	13593
399	9046	13569
400	9068	13546
401	9092	13525
402	9121	13511
403	9153	13502
404	9189	13500
405	9223	13494
406	9255	13484
407	9287	13475
408	9320	13468
409	9355	13462
410	9389	13456
411	9415	13437
412	9450	13432
413	9487	13429
414	9521	13421
415	9553	13411
416	9586	13403
417	9622	13397
418	9659	13393
419	9693	13386
420	9737	13391
421	9766	13377
422	9794	13359
423	9820	13341
424	9848	13324
425	9871	13300
426	9898	13282
427	9919	13256
428	9941	13231
429	9972	13219
430	9994	13195
431	10017	13170
432	10038	13145
433	10063	13124
434	10085	13099
435	10107	13074
436	10129	13050
437	10152	13026
438	10173	13000
439	10196	12977
440	10219	12953
441	10242	12930
442	10264	12905
443	10287	12882
444	10308	12857
445	10333	12835
446	10352	12807
447	10374	12782
448	10398	12760
449	10421	12737
450	10443	12713
451	10465	12688
452	10487	12664
453	10509	12638
454	10531	12614
455	10555	12592
456	10576	12567
457	10599	12543
458	10620	12518
459	10643	12494
460	10665	12469
461	10688	12446
462	10716	12428
463	10776	12448
464	10797	12423
465	10821	12400
466	10844	12376
467	10865	12351
468	10886	12325
469	10906	12299
470	10927	12273
471	10948	12247
472	10971	12223
473	10994	12200
474	11019	12179
475	11040	12153
476	11063	12130
477	11086	12106
478	11110	12084
479	11135	12063
480	11158	12040
481	11181	12016
482	11205	11994
483	11231	11973
484	11255	11951
485	11281	11930
486	11304	11908
487	11327	11884
488	11354	11865
489	11375	11839
490	11397	11814
491	11418	11789
492	11436	11761
493	11458	11736
494	11482	11714
495	11503	11689
496	11525	11664
497	11548	11640
498	11571	11618
499	11594	11594
500	11615	11569
501	11640	11547
502	11662	11523
503	11684	11498
504	11704	11472
505	11728	11450
506	11769	11444
507	11788	11417
508	11810	11392
509	11833	11369
510	11856	11346
511	11878	11321
512	11899	11296
513	11922	11272
514	11942	11246
515	11961	11220
516	11982	11194
517	12004	11170
518	12026	11146
519	12047	11121
520	12078	11104
521	12100	11080
522	12122	11056
523	12144	11031
524	12167	11009
525	12190	10985
526	12211	10960
527	12232	10935
528	12253	10909
529	12274	10884
530	12299	10863
531	12321	10839
532	12344	10815
533	12365	10791
534	12386	10766
535	12408	10741
536	12430	10717
537	12450	10691
538	12471	10666
539	12492	10641
540	12514	10618
541	12535	10593
542	12557	10568
543	12579	10544
544	12600	10519
545	12622	10495
546	12644	10471
547	12669	10449
548	12691	10425
549	12711	10400
550	12732	10375
551	12753	10350
552	12881	10412
553	12906	10390
554	12934	10370
555	12957	10347
556	12980	10324
557	13003	10300
558	13026	10277
559	13050	10253
560	13074	10231
561	13097	10207
562	13119	10183
563	13142	10159
564	13165	10136
565	13186	10111
566	13210	10088
567	13232	10064
568	13255	10040
569	13279	10017
570	13301	9993
571	13323	9969
572	13344	9944
573	13369	9922
574	13393	9899
575	13421	9879
576	13444	9856
577	13468	9833
578	13492	9810
579	13517	9788
580	13537	9763
581	13558	9738
582	13581	9714
583	13601	9688
584	13624	9665
585	13646	9641
586	13669	9617
587	13693	9594
588	13713	9569
589	13732	9543
590	13753	9517
591	13774	9493
592	13796	9469
