iter	RMSE
0	0.3148242797
1	0.3043622184
2	0.2944992591
3	0.2854504938
4	0.2770789317
5	0.2692259615
6	0.2614586146
7	0.2547935372
8	0.2481972437
9	0.2421254201
10	0.236145816
11	0.2306546496
12	0.2252208573
13	0.22023022
14	0.2156605282
15	0.2119341546
16	0.2079103181
17	0.204139661
18	0.2007471466
19	0.1965383033
20	0.1934806694
21	0.1901311191
22	0.1870927412
23	0.1843899447
24	0.1815477979
25	0.1786728078
26	0.1756546717
27	0.1728348128
28	0.1700507118
29	0.1678327192
30	0.1660409523
31	0.1641938325
32	0.1620816394
33	0.1603452887
34	0.1586168332
35	0.1569856716
36	0.1555209531
37	0.1538958439
38	0.1523976791
39	0.1511261843
40	0.1499789383
41	0.148777479
42	0.1476457931
43	0.1467509655
44	0.1457500176
45	0.1448277181
46	0.1439866062
47	0.1430651134
48	0.1423645437
49	0.1416761442
50	0.1411050674
51	0.1402039516
52	0.1396780624
53	0.1390290566
54	0.1384792931
55	0.1378053199
56	0.1371938562
57	0.1365653347
58	0.1360657959
59	0.1356517273
60	0.1352790756
61	0.1348671817
62	0.1344362861
63	0.1340007506
64	0.1334133576
65	0.133045707
66	0.1327240056
67	0.1324193687
68	0.1320677668
69	0.131830939
70	0.1315037939
71	0.131241812
72	0.1310153236
73	0.1307772955
74	0.1304079731
75	0.1301210753
76	0.1299122821
77	0.1297530277
78	0.1294526954
79	0.1292630027
80	0.1290926791
81	0.1289071584
82	0.1287289838
83	0.1282962328
84	0.1281143026
85	0.1278994518
86	0.1276174319
87	0.1273845271
88	0.1270674402
89	0.126784037
90	0.1264868583
91	0.1262610308
92	0.1259800253
93	0.1257222507
94	0.1255625121
95	0.1252439862
96	0.1249781567
97	0.124829842
98	0.1245960069
99	0.1244214306
100	0.1241963909
101	0.1240847913
102	0.1236880417
103	0.12338167
104	0.1232283832
105	0.1231127012
106	0.1230337733
107	0.1229189459
108	0.1227417997
109	0.1224846348
110	0.1222009655
111	0.1219622157
112	0.1217642226
113	0.1216295574
114	0.1215338434
115	0.1212712883
116	0.1211000783
117	0.1208377766
118	0.1207199945
119	0.1205711022
120	0.1204318966
121	0.1202580138
122	0.1201545008
123	0.1199948721
124	0.1199010174
125	0.1197651709
126	0.1196692048
127	0.1194356466
128	0.1192455521
129	0.1191351685
130	0.1189402486
131	0.1187909782
132	0.1185743429
133	0.1184866566
134	0.1183351155
135	0.1181275331
136	0.1179603285
137	0.1177953712
138	0.1176564496
139	0.1174308652
140	0.1172979864
141	0.1171800827
142	0.1169581638
143	0.1168536666
144	0.1166867323
145	0.1165199589
146	0.1163479245
147	0.1161650267
148	0.1159701596
149	0.1157052645
150	0.1155639215
151	0.1153708331
152	0.1153057302
153	0.1151840319
154	0.1150914783
155	0.1150074389
156	0.1148067971
157	0.1146595617
158	0.1145950958
159	0.1144684833
160	0.1143964035
161	0.1143281227
162	0.1142468574
163	0.1141153217
164	0.1139823163
165	0.1138050347
166	0.1137136011
167	0.1136069916
168	0.1135319792
169	0.1134108942
170	0.1132509059
171	0.1130870764
172	0.1129638753
173	0.1128790892
174	0.1127794296
175	0.1126438806
176	0.1125536481
177	0.1124520129
178	0.1123393872
179	0.1122460578
180	0.1120100846
181	0.1118875275
182	0.1117559125
183	0.1116170554
184	0.1115025112
185	0.1114142809
186	0.1112902364
187	0.1111253455
188	0.110896364
189	0.1107840954
190	0.1106381442
191	0.1105008793
192	0.1103979007
193	0.1102333913
194	0.1101427865
195	0.1100019441
196	0.1098256855
197	0.1097221434
198	0.1094743247
199	0.1093550998
200	0.1091740588
201	0.10906805
202	0.1088401665
203	0.1087517959
204	0.1086434472
205	0.1085009377
206	0.1084128879
207	0.1082938438
208	0.1081348278
209	0.1081080638
210	0.1080217636
211	0.1078316229
212	0.1077010558
213	0.1076518231
214	0.1075629808
215	0.1074871631
216	0.1073597038
217	0.1072161889
218	0.1071476604
219	0.1069898284
220	0.106891377
221	0.1068464326
222	0.1067062902
223	0.1065886891
224	0.1064724467
225	0.1063062493
226	0.1061747218
227	0.1060211719
228	0.1059304619
229	0.1058354734
230	0.1058103379
231	0.1057248487
232	0.1055338463
233	0.1054058664
234	0.1053062272
235	0.10515375
236	0.1049935266
237	0.1048809996
238	0.1047697361
239	0.1047592991
240	0.1046586251
241	0.1045295468
242	0.104441291
243	0.1043245382
244	0.1042253089
245	0.1042168137
246	0.1041481464
247	0.1040405783
248	0.103972429
249	0.1039058962
250	0.1038083608
251	0.103726481
252	0.1036402718
253	0.103530655
254	0.1034180441
255	0.1032844265
256	0.1031359684
257	0.1030146128
258	0.1028515361
259	0.1027530461
260	0.1026451327
261	0.1026330161
262	0.1025223472
263	0.1024119025
264	0.10236288
265	0.102230173
266	0.1021991284
267	0.1020531931
268	0.1019592238
269	0.1018407691
270	0.101813623
271	0.1017247216
272	0.10165007
273	0.1015901868
274	0.101459502
275	0.1013415061
276	0.1012548428
277	0.1011707375
278	0.1010838543
279	0.100967447
280	0.100945271
281	0.100811723
282	0.1007257052
283	0.1006864019
284	0.100593782
285	0.1005383209
286	0.1004705521
287	0.1004391985
288	0.1003811004
289	0.1002706412
290	0.1001375139
291	0.1000750098
292	0.09994007404
293	0.09983056861
294	0.0997570083
295	0.0996795696
296	0.09959277112
297	0.09946303782
298	0.09937482753
299	0.09928207617
300	0.0991991963
301	0.09914991565
302	0.09908338643
303	0.09895583367
304	0.09886886552
305	0.09878194537
306	0.09868986601
307	0.09861797048
308	0.09858946762
309	0.09849670799
310	0.09841209829
311	0.09834807592
312	0.09831605478
313	0.09819949968
314	0.09815737472
315	0.0980805805
316	0.09801031141
317	0.09796214497
318	0.09791986037
319	0.0978664418
320	0.09780447809
321	0.097705483
322	0.09766552996
323	0.09757176498
324	0.09751893397
325	0.09740358544
326	0.09734195985
327	0.09728614387
328	0.09721769333
329	0.09715372621
330	0.09709612675
331	0.09700893848
332	0.09698796545
333	0.09688245078
334	0.09684004739
335	0.096765361
336	0.09666274184
337	0.09664511772
338	0.09649786836
339	0.0964487466
340	0.09639689664
341	0.09633791575
342	0.09629315124
343	0.09623204463
344	0.09614771906
345	0.09612456571
346	0.09604926599
347	0.0960000568
348	0.0959818805
349	0.09585545663
350	0.09579959131
351	0.09573754238
352	0.0956766276
353	0.09557003902
354	0.09549450473
355	0.09541733806
356	0.09534774745
357	0.09523450483
358	0.09521073306
359	0.09514612471
360	0.09505608386
361	0.09493396985
362	0.09484018708
363	0.09478198341
364	0.09471238704
365	0.0946466264
366	0.09462770085
367	0.09454709809
368	0.09446790145
369	0.09441030696
370	0.09430232903
371	0.09422242226
372	0.09412831834
373	0.09407810992
374	0.09404945819
375	0.09393060419
376	0.09378330847
377	0.09369858583
378	0.0935665399
379	0.09348609148
380	0.09344359099
381	0.09341016785
382	0.09333533722
383	0.0932645323
384	0.09323091436
385	0.09316084163
386	0.09311864462
387	0.09306804975
388	0.09297544549
389	0.09287391298
390	0.09282739677
391	0.09272484649
392	0.09265372381
393	0.09260696525
394	0.0925006035
395	0.09245145492
396	0.09241568293
397	0.09236021935
398	0.09230227371
399	0.09227680154
400	0.09223952088
401	0.09218746902
402	0.09212052083
403	0.09204871612
404	0.09199955879
405	0.09192748391
406	0.09186341784
407	0.09180826881
408	0.09172556675
409	0.0916792804
410	0.09160023691
411	0.09155270243
412	0.09142791372
413	0.09133177572
414	0.09120339285
415	0.09116265588
416	0.09113854473
417	0.09101875629
418	0.09092944638
419	0.09087991888
420	0.09082740683
421	0.09077132493
422	0.09067382345
423	0.09063554898
424	0.0905778082
425	0.0905439722
426	0.09048265546
427	0.09041943996
428	0.09033287005
429	0.09025756555
430	0.09018552379
431	0.09011337865
432	0.09006815116
433	0.08998843152
434	0.08989568986
435	0.08984017489
436	0.08977375876
437	0.08976174895
438	0.08969820304
439	0.08962005533
440	0.08958202363
441	0.08951596755
442	0.08946573372
443	0.0893610892
444	0.08933944752
445	0.08929025126
446	0.08922712572
447	0.08914829179
448	0.08909895898
449	0.08902650305
450	0.08898896232
451	0.08891557374
452	0.0888308065
453	0.08878231242
454	0.08874845228
455	0.08870584169
456	0.08865339176
457	0.08858104508
458	0.08854140718
459	0.08847034998
460	0.0884126933
461	0.08837742415
462	0.08833940196
463	0.08829317868
464	0.08820686196
465	0.08817225486
466	0.08811172813
467	0.08805448569
468	0.08794823229
469	0.08788939076
470	0.08786061418
471	0.08779796139
472	0.08777865466
473	0.08770597354
474	0.08764135018
475	0.08759407886
476	0.08751683894
477	0.08744771079
478	0.08739363145
479	0.08736707201
480	0.08734166408
481	0.08729790979
482	0.08724356075
483	0.08720682066
484	0.08713278601
485	0.08706800523
486	0.08700776591
487	0.0869335147
488	0.08686465186
489	0.08676972381
490	0.08672345882
491	0.08663621084
492	0.08657855219
493	0.08653155978
494	0.08646431638
495	0.08639924871
496	0.0863443763
497	0.08627036297
498	0.08621675403
499	0.0861856943
500	0.08614325935
501	0.08608159866
502	0.08603613849
503	0.08597632086
504	0.08590743957
505	0.08586600908
506	0.08581036521
507	0.08574508753
508	0.08570496208
509	0.08566829184
510	0.08560930648
511	0.08554250741
512	0.08551433529
513	0.08547960041
