iter	Passed	Remaining
0	26	26227
1	46	23131
2	62	20759
3	89	22253
4	114	22752
5	136	22642
6	167	23824
7	221	27473
8	246	27139
9	270	26752
10	295	26581
11	319	26327
12	344	26162
13	367	25908
14	392	25806
15	416	25584
16	452	26169
17	478	26113
18	505	26077
19	526	25806
20	552	25735
21	574	25552
22	595	25294
23	621	25293
24	652	25441
25	676	25341
26	701	25266
27	727	25243
28	750	25139
29	774	25036
30	800	25013
31	819	24795
32	841	24649
33	865	24590
34	889	24522
35	912	24447
36	936	24363
37	961	24338
38	983	24229
39	1008	24200
40	1031	24119
41	1053	24026
42	1073	23896
43	1097	23847
44	1119	23766
45	1144	23745
46	1169	23721
47	1196	23737
48	1254	24345
49	1280	24325
50	1304	24266
51	1314	23963
52	1336	23876
53	1358	23798
54	1380	23726
55	1404	23679
56	1432	23692
57	1455	23637
58	1476	23556
59	1501	23522
60	1529	23540
61	1560	23606
62	1594	23710
63	1615	23627
64	1645	23674
65	1669	23625
66	1694	23600
67	1717	23542
68	1737	23448
69	1763	23427
70	1789	23413
71	1809	23328
72	1832	23264
73	1854	23200
74	1878	23168
75	1902	23127
76	1927	23110
77	1951	23073
78	1975	23031
79	2000	23004
80	2025	22982
81	2049	22946
82	2073	22909
83	2095	22847
84	2118	22806
85	2143	22783
86	2172	22795
87	2198	22785
88	2218	22705
89	2240	22649
90	2289	22867
91	2317	22874
92	2343	22858
93	2369	22840
94	2396	22829
95	2423	22818
96	2454	22852
97	2484	22863
98	2511	22854
99	2535	22822
100	2562	22808
101	2586	22767
102	2610	22733
103	2645	22788
104	2670	22762
105	2702	22793
106	2734	22825
107	2760	22799
108	2788	22792
109	2817	22794
110	2849	22819
111	2883	22858
112	2915	22884
113	2947	22905
114	2975	22896
115	3004	22895
116	3028	22859
117	3060	22873
118	3089	22872
119	3128	22940
120	3156	22926
121	3179	22885
122	3202	22833
123	3223	22771
124	3242	22696
125	3261	22624
126	3283	22572
127	3333	22708
128	3356	22665
129	3380	22625
130	3413	22644
131	3445	22658
132	3475	22657
133	3507	22666
134	3534	22647
135	3561	22624
136	3584	22582
137	3607	22536
138	3629	22484
139	3651	22429
140	3672	22375
141	3696	22337
142	3718	22285
143	3740	22234
144	3763	22191
145	3784	22135
146	3806	22090
147	3830	22053
148	3852	22003
149	3875	21959
150	3898	21917
151	3925	21899
152	3954	21890
153	3977	21852
154	4004	21830
155	4028	21794
156	4050	21750
157	4075	21719
158	4101	21691
159	4128	21676
160	4165	21704
161	4192	21689
162	4217	21654
163	4242	21625
164	4268	21598
165	4290	21553
166	4311	21504
167	4367	21631
168	4400	21636
169	4428	21623
170	4466	21652
171	4496	21643
172	4521	21615
173	4545	21576
174	4568	21538
175	4595	21513
176	4618	21472
177	4642	21437
178	4663	21391
179	4685	21344
180	4712	21323
181	4738	21295
182	4761	21258
183	4783	21211
184	4804	21164
185	4828	21129
186	4850	21089
187	4871	21042
188	4896	21011
189	4922	20984
190	4947	20954
191	4970	20915
192	4991	20870
193	5020	20858
194	5051	20851
195	5086	20865
196	5118	20862
197	5147	20849
198	5176	20834
199	5204	20818
200	5235	20813
201	5264	20798
202	5293	20782
203	5318	20751
204	5340	20710
205	5364	20675
206	5415	20748
207	5446	20738
208	5473	20716
209	5502	20698
210	5532	20688
211	5560	20666
212	5591	20660
213	5618	20635
214	5648	20622
215	5677	20605
216	5707	20595
217	5734	20571
218	5764	20558
219	5799	20560
220	5828	20544
221	5850	20502
222	5875	20472
223	5898	20435
224	5922	20399
225	5950	20379
226	5977	20354
227	6009	20346
228	6031	20306
229	6059	20287
230	6082	20247
231	6108	20221
232	6138	20206
233	6164	20181
234	6187	20142
235	6208	20098
236	6229	20056
237	6250	20012
238	6273	19976
239	6298	19944
240	6317	19895
241	6335	19844
242	6358	19808
243	6383	19779
